date,tweet,category,priority,sentiment,Verified,Disaster
2024-03-04 06:26:36+00:00,Breaking News Earthquake 5.4#earthquakes #earthquake #ALLAHHUAKBAR #Allah #Kyrgyzstan,Disaster Status Information,Low Priority,Very Negative,False,Earthquake
2024-03-03 20:48:51+00:00,"Start painting your roofs blue asap!

The same green laser surveying preceded the Maui fires, the Chile fires and the Texas Fires.#MauiFires #ChileFires 

Upcoming #FloridaFires?#DEW #DEWs #BlueRoofs #Wildfires ",Disaster Status Information,Low Priority,Very Positive,True,Wildfire
2024-02-27 22:22:43+00:00,"It’s 14 degrees Celsius here in #Montreal. Though it makes for a rare and enjoyable February day, it feels wrong. We may well gain weather improvements here, while others around the globe suffer and die from #drought #wildfires #floods #ExtremeWeather",Disaster Status Information,Low Priority,Negative,False,Drought
2024-02-27 22:22:43+00:00,"It’s 14 degrees Celsius here in #Montreal. Though it makes for a rare and enjoyable February day, it feels wrong. We may well gain weather improvements here, while others around the globe suffer and die from #drought #wildfires #floods #ExtremeWeather",Disaster Status Information,Low Priority,Negative,False,Floods
2024-02-27 22:22:43+00:00,"It’s 14 degrees Celsius here in #Montreal. Though it makes for a rare and enjoyable February day, it feels wrong. We may well gain weather improvements here, while others around the globe suffer and die from #drought #wildfires #floods #ExtremeWeather",Disaster Status Information,Low Priority,Negative,False,Drought
2024-02-27 22:22:43+00:00,"It’s 14 degrees Celsius here in #Montreal. Though it makes for a rare and enjoyable February day, it feels wrong. We may well gain weather improvements here, while others around the globe suffer and die from #drought #wildfires #floods #ExtremeWeather",Disaster Status Information,Low Priority,Negative,False,Floods
2024-02-26 12:42:53+00:00,"-Average #Malawians faced 56% floods, 21% Epidemics, and 11% droughts (1980-2020) . 
-Reports +presentations => #Resilience building in #flood, #drought #cyclones. 
-In Field, => single pit as #improved toilets (see photo).   ",Disaster Status Information,Low Priority,Neutral,True,Drought
2024-02-26 12:42:53+00:00,"-Average #Malawians faced 56% floods, 21% Epidemics, and 11% droughts (1980-2020) . 
-Reports +presentations => #Resilience building in #flood, #drought #cyclones. 
-In Field, => single pit as #improved toilets (see photo).   ",Disaster Status Information,Low Priority,Neutral,True,Drought
2024-02-28 15:12:26+00:00,"The #SmokehouseCreek Fire, the largest of the five #wildfires burning in and around the #Texas Panhandle region, is now the second-largest wildfire in state history.#TxFire",Disaster Status Information,Low Priority,Very Negative,False,Wildfire
2024-02-27 21:51:33+00:00,BC Urged to 'Completely Change Its Approach to Firefighting' #wildfires #bcpoli,Disaster Status Information,Low Priority,Very Negative,False,Wildfire
2024-02-26 01:26:59+00:00,POWER PLAY GOAL!!!!#Hurricanes #Sabres #NHL,Disaster Status Information,Low Priority,Very Positive,True,Hurricanes
2024-02-28 16:18:01+00:00,"Flooding due to heavy rainfall in the port city of Béjaïa, Algeria  
| 28 February 2024 |#floods #flooding #Algeria #Béjaïa #Bejaia ",Disaster Status Information,Low Priority,Very Negative,False,Floods
2024-03-03 23:24:45+00:00,Lubbock man’s hat business is raising much needed funds for Texas Panhandle firefighters. #SmokehouseCreekFire #wildfires https://msn.com/en-us/lifestyle/lifestyle-buzz/lubbock-man-uses-his-hat-business-to-help-firefighters-in-the-panhandle-area/ar-BB1jcjb0…,Help Request,Low Priority,Positive,False,Wildfire
2024-03-03 23:24:45+00:00,Lubbock man’s hat business is raising much needed funds for Texas Panhandle firefighters. #SmokehouseCreekFire #wildfires https://msn.com/en-us/lifestyle/lifestyle-buzz/lubbock-man-uses-his-hat-business-to-help-firefighters-in-the-panhandle-area/ar-BB1jcjb0…,Help Request,Low Priority,Positive,False,Wildfire
2024-02-27 09:18:52+00:00,"Heavy rainfall in southeastern Peru has triggered devastating floods, displacing thousands and creating an urgent need for aid. As the community bands together, there is hope for recovery amidst the chaos.#Peru #Floods #HeavyRainfall #Chaos #Peruvians #Aid",Disaster Status Information,Low Priority,Very Negative,True,Floods
2024-03-02 22:30:06+00:00,"US, China and Russia are advancing critical technologies to have a military edge in areas such as

- hypersonic weapons;
- directed energy weapons (#DEWs) - high-energy lasers and microwaves#SpaceForce #AI #5G #Cyberspace #satellites #wildfires #explosions #experiments #space",Disaster Status Information,Low Priority,Positive,True,Wildfire
2024-03-01 02:53:11+00:00,#hurricanes 4 #bluejackets 2 final,Disaster Status Information,Low Priority,Positive,False,Hurricanes
2024-03-03 07:03:34+00:00,"Across South America in the last two months, #floods and #landslides in Bolivia and Ecuador, and #drought and #wildfires in Chile and Colombia are ongoing signs of the #ClimateCrisis",Disaster Status Information,Low Priority,Very Negative,False,Floods
2024-03-03 07:03:34+00:00,"Across South America in the last two months, #floods and #landslides in Bolivia and Ecuador, and #drought and #wildfires in Chile and Colombia are ongoing signs of the #ClimateCrisis",Disaster Status Information,Low Priority,Very Negative,False,Drought
2024-03-03 07:03:34+00:00,"Across South America in the last two months, #floods and #landslides in Bolivia and Ecuador, and #drought and #wildfires in Chile and Colombia are ongoing signs of the #ClimateCrisis",Disaster Status Information,Low Priority,Very Negative,False,Wildfire
2024-03-03 07:03:34+00:00,"Across South America in the last two months, #floods and #landslides in Bolivia and Ecuador, and #drought and #wildfires in Chile and Colombia are ongoing signs of the #ClimateCrisis",Disaster Status Information,Low Priority,Very Negative,False,Drought
2024-03-03 07:03:34+00:00,"Across South America in the last two months, #floods and #landslides in Bolivia and Ecuador, and #drought and #wildfires in Chile and Colombia are ongoing signs of the #ClimateCrisis",Disaster Status Information,Low Priority,Very Negative,False,Wildfire
2024-03-03 07:03:34+00:00,"Across South America in the last two months, #floods and #landslides in Bolivia and Ecuador, and #drought and #wildfires in Chile and Colombia are ongoing signs of the #ClimateCrisis",Disaster Status Information,Low Priority,Very Negative,False,Floods
2024-03-03 12:08:31+00:00,#wildfire #Tornado #landslides #floods #earthquakes #disasters #FlashFlood#12000yearsCycle #Caturday #Liverpool #Ferrari,Disaster Status Information,Low Priority,Very Negative,True,Floods
2024-03-01 18:41:39+00:00,"Dry, #Windy #Weather Could Spread Texas #Wildfires Through Panhandle and Oklahoma - The New York Times",Disaster Status Information,Low Priority,Negative,False,Wildfire
2024-02-26 17:36:49+00:00,"Our resource management group is looking for a Regional #Hydrologist to support #drought management. The deadline to apply is March 5, 2024.https://jobpostings.alberta.ca/job/Calgary%2C-Lethbridge-or-Edmonto-Regional-Hydrologist/578469417/#:~:text=The%20Regional%20Hydrologist%20is%20responsible,Responsibilities%20include%3A&text=Designing%2C%20maintaining%20and%20updating%20hydrologic,water%20management%20and%20planning%20requirements….",Help Request,Low Priority,Positive,False,Drought
2024-02-26 17:36:49+00:00,"Our resource management group is looking for a Regional #Hydrologist to support #drought management. The deadline to apply is March 5, 2024.https://jobpostings.alberta.ca/job/Calgary%2C-Lethbridge-or-Edmonto-Regional-Hydrologist/578469417/#:~:text=The%20Regional%20Hydrologist%20is%20responsible,Responsibilities%20include%3A&text=Designing%2C%20maintaining%20and%20updating%20hydrologic,water%20management%20and%20planning%20requirements….",Help Request,Low Priority,Positive,False,Drought
2024-02-27 20:59:35+00:00,"Gwadar Paralyzed: Heavy Rainfall Submerges Coastal City, Calls for Urgent Aid Rise#Gwadar #HeavyRainfall #CoastalCity #EmergencyAid #Floods #NaturalDisasterRead more : https://bnnbreaking.com/weather/gwadar-paralyzed-heavy-rainfall-submerges-coastal-city-calls-for-urgent-aid-rise…",Disaster Status Information,Low Priority,Very Negative,False,Floods
2024-03-04 09:04:37+00:00,"In addition to the available snow on the ground, forecasts have recently turned positive for the next few months. Hopefully, #Afghanistan will not experience a heatwave, which will melt the snow early, cause floods, and leave less water for the subsequent months.#Drought #Flood",Disaster Status Information,Low Priority,Negative,False,Drought
2024-03-04 09:04:37+00:00,"In addition to the available snow on the ground, forecasts have recently turned positive for the next few months. Hopefully, #Afghanistan will not experience a heatwave, which will melt the snow early, cause floods, and leave less water for the subsequent months.#Drought #Flood",Disaster Status Information,Low Priority,Negative,False,Drought
2024-02-28 03:50:36+00:00,"LIVE NOW!!!!

It's Been an Eventful Day!!!  Lets Have a Great Night!!!  #tornadoes #severeweather #KickStreaming #kickcommunity #tuesdayvibe https://kick.com/brandinicole",Disaster Status Information,Low Priority,Very Positive,True,Tornadoes
2024-03-03 17:21:53+00:00,Back home and catching up on my other teams win….what a game! #HURvRED #Hurricanes,Disaster Status Information,Low Priority,Very Positive,False,Hurricanes
2024-03-01 17:28:04+00:00,Prayers for our cattle brethren. #Dairy farmers in the Panhandle are no strangers to the heartbreaking loss of livestock from natural weather disasters. Please consider helping our Texas neighbors affected by the #wildfires.,Help Request,Low Priority,Very Positive,False,Wildfire
2024-03-01 17:28:04+00:00,Prayers for our cattle brethren. #Dairy farmers in the Panhandle are no strangers to the heartbreaking loss of livestock from natural weather disasters. Please consider helping our Texas neighbors affected by the #wildfires.,Help Request,Low Priority,Very Positive,False,Wildfire
2024-02-29 20:08:37+00:00,"Firefighting teams battled to control a lethal wildfire that has consumed over 1 million acres in Texas
 https://shorturl.at/isRW3 #Texas  #Wildfires  #Cattle  #ClimateCrisis  #panhandle #SmokehouseCreekFire",Disaster Status Information,Low Priority,Positive,False,Wildfire
2024-03-04 07:05:51+00:00,"A magnitude 5 earthquake took place 144km SSW of Pagar Alam, Indonesia at 06:55 UTC (11 minutes ago). The depth was 43km and was reported by EMSC. #earthquake #earthquakes #Gempa #Indonesia",Disaster Status Information,Low Priority,Very Negative,True,Earthquake
2024-03-04 07:05:51+00:00,"A magnitude 5 earthquake took place 144km SSW of Pagar Alam, Indonesia at 06:55 UTC (11 minutes ago). The depth was 43km and was reported by EMSC. #earthquake #earthquakes #Gempa #Indonesia",Disaster Status Information,Low Priority,Very Negative,True,Earthquake
2024-03-04 07:23:06+00:00,"USGS reports a M1.5 earthquake, 55 km S of Whites City, New Mexico on 3/4/24 @ 7:02:20 UTChttps://earthquake.usgs.gov/earthquakes/eventpage/tx2024elqq…#earthquake",Disaster Status Information,Low Priority,Very Negative,True,Earthquake
2024-02-28 16:18:47+00:00,#SaveSoil offers tangible solutions to some of the world’s most pressing problems.#GlobalWarming #SDGs #CarbonZero #FoodSafety #drought #floods          ,Disaster Status Information,Low Priority,Positive,True,Floods
2024-02-28 17:00:54+00:00,Imagine being this desperate. #wildfires,Disaster Status Information,Low Priority,Very Negative,True,Wildfire
2024-02-25 21:12:33+00:00,#MEDIA #news #LiveNews #worldNews #fire #firefighters #firesafety #climatecrisis #technical #wildfire #Tornado #landslides #floods #earthquakes #disasters #FlashFlood#12000yearsCycle,Disaster Status Information,Low Priority,Very Negative,True,Floods
2024-02-28 21:43:00+00:00,"A state of #emergency in 10 provinces in #Spain due to #floods, heavy #snow and #rain, and road closures#TMCNewsAgency",Disaster Status Information,Low Priority,Very Negative,False,Floods
2024-02-28 21:43:00+00:00,"A state of #emergency in 10 provinces in #Spain due to #floods, heavy #snow and #rain, and road closures#TMCNewsAgency",Disaster Status Information,Low Priority,Very Negative,False,Floods
2024-02-28 03:55:54+00:00,"Interesting trend from 1990 to 2023. #Tornadoes in #NJ are trending upward, especially in the last few years. #njwx",Disaster Status Information,Low Priority,Positive,True,Tornadoes
2024-03-04 06:48:05+00:00,"USGS reports a M3.5 earthquake, 55 km N of Cruz Bay, U.S. Virgin Islands on 3/4/24 @ 6:19:43 UTChttps://earthquake.usgs.gov/earthquakes/eventpage/pr2024064001…#earthquake",Disaster Status Information,Low Priority,Very Negative,True,Earthquake
2024-02-28 05:09:44+00:00,Mainstream media completely silent over this ! #Gwadar #floods #Balochistan #Baloch #ClimateCrisis,Disaster Status Information,Low Priority,Very Negative,False,Floods
2024-02-28 05:09:44+00:00,Mainstream media completely silent over this ! #Gwadar #floods #Balochistan #Baloch #ClimateCrisis,Disaster Status Information,Low Priority,Very Negative,False,Floods
2024-03-02 20:08:11+00:00,Niederreiter any time he plays his old teams. #NHLJets  #Hurricanes,Disaster Status Information,Low Priority,Very Negative,False,Hurricanes
2024-03-01 04:28:15+00:00,"#KhabarZarooriHai: इटली के कई हिस्सों में बाढ़ से भारी बर्बादी..   के साथ देखिए, मॉर्निंग न्यूज़ का सबसे विश्वसनीय बुलेटिन #Floods #Italy",Disaster Status Information,Low Priority,Very Negative,True,Floods
2024-03-02 04:45:58+00:00,"#CapeTown faces a conundrum balancing city growth with fire management in a fire-dependent biome. The contentious issue requires multifaceted solutions, addressing #wildfires, land management, social issues, and climate change. Learn more about the d...",Help Request,Low Priority,Positive,False,Wildfire
2024-03-02 04:45:58+00:00,"#CapeTown faces a conundrum balancing city growth with fire management in a fire-dependent biome. The contentious issue requires multifaceted solutions, addressing #wildfires, land management, social issues, and climate change. Learn more about the d...",Help Request,Low Priority,Positive,False,Wildfire
2024-03-01 07:50:23+00:00,This is what the West want Africa to be all the time #Droughts #Famine #Ebola #Malaria #floods  #CRISIS  #Conflicts #Civil_War and for them to #LOOT  and #Exploit #Africans should wake up and remove the greedy  Presidents,Disaster Status Information,Low Priority,Very Positive,False,Floods
2024-02-27 16:35:25+00:00,California utility will pay $80M to settle claims its equipment sparked devastating 2017 wildfire #Weather #Wildfires #Drought #Storms #Rain #Snow #Mudslides #FEMA #California #CalFire #LosAngeles #SanFrancisco #RicesFire #MarshFire #McKinneyFire #Evacuations…,Disaster Status Information,Low Priority,Very Negative,True,Drought
2024-03-01 15:25:00+00:00,"Get $20 off of your first ticket purchase at SeatGeek! Use code ""SKEWCAR"" at checkout!

SeatGeek offers the BEST DEALS on all tickets from NFL, NASCAR, #F1, NHL, NBA, IndyCar, #Jets, #Hurricanes,  tickets & other eventshttp://seatgeek.com",Disaster Status Information,Low Priority,Very Positive,False,Hurricanes
2024-02-25 14:24:11+00:00,"Major #floods on the streets due to heavy rainfall in the #Yogyakarta, #Indonesia  (25.02.2024)Watch now the International online forum. Global crisis. The Responsibility.https://rumble.com/c/CreativeSociety… Egon Cholakyan's address to humanityhttp://earthsavesciencecollaborative.com",Disaster Status Information,Low Priority,Very Negative,False,Floods
2024-02-25 14:24:11+00:00,"Major #floods on the streets due to heavy rainfall in the #Yogyakarta, #Indonesia  (25.02.2024)Watch now the International online forum. Global crisis. The Responsibility.https://rumble.com/c/CreativeSociety… Egon Cholakyan's address to humanityhttp://earthsavesciencecollaborative.com",Disaster Status Information,Low Priority,Very Negative,False,Floods
2024-03-03 05:46:20+00:00,What is wrong with us?!#Farmers #rightwing #leftwing #government #ClimateCrisis #Food #floods #wildfires #drought #business #greed #Fear #markets,Disaster Status Information,Low Priority,Very Negative,False,Floods
2024-03-03 05:46:20+00:00,What is wrong with us?!#Farmers #rightwing #leftwing #government #ClimateCrisis #Food #floods #wildfires #drought #business #greed #Fear #markets,Disaster Status Information,Low Priority,Very Negative,False,Wildfire
2024-03-03 05:46:20+00:00,What is wrong with us?!#Farmers #rightwing #leftwing #government #ClimateCrisis #Food #floods #wildfires #drought #business #greed #Fear #markets,Disaster Status Information,Low Priority,Very Negative,False,Drought
2024-03-03 05:46:20+00:00,What is wrong with us?!#Farmers #rightwing #leftwing #government #ClimateCrisis #Food #floods #wildfires #drought #business #greed #Fear #markets,Disaster Status Information,Low Priority,Very Negative,False,Floods
2024-03-03 05:46:20+00:00,What is wrong with us?!#Farmers #rightwing #leftwing #government #ClimateCrisis #Food #floods #wildfires #drought #business #greed #Fear #markets,Disaster Status Information,Low Priority,Very Negative,False,Drought
2024-02-28 13:19:30+00:00," #Gawadar #Floods | #Record #Broken!
 All records are broken! Earlier in 2008, the highest rainfall in 24 hours was 38 mm, while on February 27, 125 mm of rain was recorded in just 24 hours and a total of 168 mm was recorded in this spell. Which caused severe destruction and…",Disaster Status Information,Low Priority,Very Negative,True,Floods
2024-02-28 13:19:30+00:00," #Gawadar #Floods | #Record #Broken!
 All records are broken! Earlier in 2008, the highest rainfall in 24 hours was 38 mm, while on February 27, 125 mm of rain was recorded in just 24 hours and a total of 168 mm was recorded in this spell. Which caused severe destruction and…",Disaster Status Information,Low Priority,Very Negative,True,Floods
2024-02-25 21:15:29+00:00,Let's go  #Hurricanes,Disaster Status Information,Low Priority,Very Positive,False,Hurricanes
2024-03-04 07:05:51+00:00,"A magnitude 5 earthquake took place 144km SSW of Pagar Alam, Indonesia at 06:55 UTC (11 minutes ago). The depth was 43km and was reported by EMSC. #earthquake #earthquakes #Gempa #Indonesia",Disaster Status Information,Low Priority,Very Negative,True,Earthquake
2024-03-04 07:05:51+00:00,"A magnitude 5 earthquake took place 144km SSW of Pagar Alam, Indonesia at 06:55 UTC (11 minutes ago). The depth was 43km and was reported by EMSC. #earthquake #earthquakes #Gempa #Indonesia",Disaster Status Information,Low Priority,Very Negative,True,Earthquake
2024-02-25 21:55:21+00:00,"#Sabres-#Hurricanes pregame coming up on ! We'll talk with  & , then hear from Don Granato, Tage Thompson and Peyton Krebs. Join us from 5-6PM, followed by  & Rob Ray with the call!",Disaster Status Information,Low Priority,Very Positive,False,Hurricanes
2024-03-02 04:18:27+00:00,پاک فوج 44 ڈویژن بشمول ایف سی کا عملہ جیونی، گوادر، اور سربندر کے سیلاب سے متاثرہ علاقوں  میں سول انتظامیہ کے ہمراہ امدادی کاروائیاں جاری رکھے ہوئے ہیں  افواج پاکستان مددگار بھی محافظ بھی  #Gwadar #Balochistan #rain #floods,Disaster Status Information,Low Priority,Positive,False,Floods
2024-03-02 04:18:27+00:00,پاک فوج 44 ڈویژن بشمول ایف سی کا عملہ جیونی، گوادر، اور سربندر کے سیلاب سے متاثرہ علاقوں  میں سول انتظامیہ کے ہمراہ امدادی کاروائیاں جاری رکھے ہوئے ہیں  افواج پاکستان مددگار بھی محافظ بھی  #Gwadar #Balochistan #rain #floods,Disaster Status Information,Low Priority,Positive,False,Floods
2024-03-01 16:23:02+00:00,"A US wildfire, visible from space, burns over 1 million acres, affecting Texas and Oklahoma, killing two, and endangering lives and livestock.

Read more: https://intdy.in/7ti5lq#Wildfires #USWildfires #ITCard",Disaster Status Information,Low Priority,Very Negative,True,Wildfire
2024-02-29 12:22:38+00:00,"#Iran News in Brief
Severe snowfall across 26 provinces of Iran this week has left more than 15,000 people trapped in snow and cold weather conditions. Extensive areas of Sistan and Baluchestan Province are grappling with severe #floods, with communication links to 300 villages…",Disaster Status Information,Medium Priority,Very Negative,True,Floods
2024-02-29 12:22:38+00:00,"#Iran News in Brief
Severe snowfall across 26 provinces of Iran this week has left more than 15,000 people trapped in snow and cold weather conditions. Extensive areas of Sistan and Baluchestan Province are grappling with severe #floods, with communication links to 300 villages…",Disaster Status Information,Medium Priority,Very Negative,True,Floods
2024-03-02 03:56:45+00:00,"“Reducing #floods and #emissions, the female #textile waste workers are the #Bangladeshi capital’s unsung #climate heroes” ⁦⁩",Disaster Status Information,Low Priority,Very Negative,False,Floods
2024-03-01 07:26:10+00:00,"Zambia declares state of disaster due to drought

The decision was made following an assessment of the prolonged drought, which has affected 84 of the country's 116 districts.#stateofdisaster #drought #Zambia",Disaster Status Information,Low Priority,Very Negative,False,Drought
2024-03-01 07:26:10+00:00,"Zambia declares state of disaster due to drought

The decision was made following an assessment of the prolonged drought, which has affected 84 of the country's 116 districts.#stateofdisaster #drought #Zambia",Disaster Status Information,Low Priority,Very Negative,False,Drought
2024-03-03 19:56:37+00:00,"Our charcoal pouches work hard so that you don't have to. Deodorizing, dehumidifying charcoal pouches.#hotweather #floods #squishy #rain #wetweather #fresh #classy #chic #natural #scent #mist #wet #squishy #stench #smell #mouldy #misty #dew #moisture #drippy #mold #yuck",Disaster Status Information,Low Priority,Positive,False,Floods
2024-03-01 10:37:20+00:00,"پاک بحریہ کا آپریشن جاری!
متاثرہ علاقوں میں پہنچ گئے!#sunonewshd #SunoUpdate #PakNavy #floods",Disaster Status Information,Low Priority,Very Positive,True,Floods
2024-02-29 22:10:14+00:00,"Read the book that warned of a global pandemic a year before Covid19! You'll also learn what the Bible says about mass shootings, racism, #wildfires, wars and rumours of wars, demonic media, false prophets, the 22 signs of 2nd Timothy 3, and so much more!",Disaster Status Information,Low Priority,Very Positive,False,Wildfire
2024-03-03 05:46:20+00:00,What is wrong with us?!#Farmers #rightwing #leftwing #government #ClimateCrisis #Food #floods #wildfires #drought #business #greed #Fear #markets,Disaster Status Information,Low Priority,Very Negative,False,Floods
2024-03-03 05:46:20+00:00,What is wrong with us?!#Farmers #rightwing #leftwing #government #ClimateCrisis #Food #floods #wildfires #drought #business #greed #Fear #markets,Disaster Status Information,Low Priority,Very Negative,False,Wildfire
2024-03-03 05:46:20+00:00,What is wrong with us?!#Farmers #rightwing #leftwing #government #ClimateCrisis #Food #floods #wildfires #drought #business #greed #Fear #markets,Disaster Status Information,Low Priority,Very Negative,False,Drought
2024-03-03 05:46:20+00:00,What is wrong with us?!#Farmers #rightwing #leftwing #government #ClimateCrisis #Food #floods #wildfires #drought #business #greed #Fear #markets,Disaster Status Information,Low Priority,Very Negative,False,Floods
2024-03-03 05:46:20+00:00,What is wrong with us?!#Farmers #rightwing #leftwing #government #ClimateCrisis #Food #floods #wildfires #drought #business #greed #Fear #markets,Disaster Status Information,Low Priority,Very Negative,False,Drought
2024-03-01 06:32:12+00:00,"ZAMBIA NATIONAL DISASTER DROUGHT FOOD
Zambia declares national disaster drought devastates agriculture. Drought crisis brought on by El Nino and climate change will affect a million households, President  says. Al Jazeera, 29 Feb. 2024#drought #climatechange #globalwarming",Disaster Status Information,Low Priority,Very Negative,False,Drought
2024-03-02 11:40:44+00:00,#breaking #SONDAKIKA #Iran #Iranian  #Tehran #Khamenei  #Raisi #flooding  #environment #ecology #ecological #nature #natural #wildfire #floods #Sistan #incident #forest #Balochistan #sandstorm #landslides #disaster,Disaster Status Information,Low Priority,Very Negative,False,Floods
2024-03-03 02:16:10+00:00,Thank you  and  smoothest ran event! #miamihurricanes #miami #theu #gocanes #canes #hurricanes #canesfootball #itsallabouttheu #collegefootball #universityofmiami #football #miamibeach #fiu #nfl #umiami #miamifootball #miamihurricanesfootball,Disaster Status Information,Low Priority,Very Positive,False,Hurricanes
2024-03-01 11:26:54+00:00,"#Bolivia Declares State of Emergency after #floods Kill 42 

The mayor of #Cobija, a city in the north of Bolivia, has declared the area a disaster zone because of heavy rain.

Local authorities say thousands of people have been displaced with homes and businesses damaged in the…",Disaster Status Information,Low Priority,Very Negative,True,Floods
2024-03-01 11:26:54+00:00,"#Bolivia Declares State of Emergency after #floods Kill 42 

The mayor of #Cobija, a city in the north of Bolivia, has declared the area a disaster zone because of heavy rain.

Local authorities say thousands of people have been displaced with homes and businesses damaged in the…",Disaster Status Information,Low Priority,Very Negative,True,Floods
2024-02-29 01:28:31+00:00,"TEXAS WILDFIRES BLAZING OUT OF CONTROL
Burned 850,000 acres only 3% contained.  Second-largest wildfire in Texas history. Strong winds, unseasonably high temperatures and dry grass are fueling the fires  NBC News  28 Feb. 2024. 
 #wildfires #globalwarming. #climatechange",Disaster Status Information,Low Priority,Very Negative,False,Wildfire
2024-02-28 03:43:25+00:00,"Storm threat to increase after 12am and reaches peak 2am to 5am as a powerful cold front nears. Storms initially are scattered then congeal before exiting the state at/around 5am. Gusty winds, large hail and a few #tornadoes are possible in any severe storm late #INwx",Disaster Status Information,Medium Priority,Negative,False,Tornadoes
2024-03-01 19:34:41+00:00,"It's that time of year where countless #lossesanddamages are experienced in #Malawi from extreme climate events: #floods, #cyclones; #droughts. #Nkhotakota has been heavily affected by floods & many families needs support .   ",Disaster Status Information,Low Priority,Negative,False,Floods
2024-03-01 19:34:41+00:00,"It's that time of year where countless #lossesanddamages are experienced in #Malawi from extreme climate events: #floods, #cyclones; #droughts. #Nkhotakota has been heavily affected by floods & many families needs support .   ",Disaster Status Information,Low Priority,Negative,False,Floods
2024-03-02 15:03:00+00:00,"Get $20 off of your first ticket purchase at SeatGeek! Use code ""SKEWCAR"" at checkout!

SeatGeek offers the BEST DEALS on all tickets from NFL, NASCAR, F1, #NHL, NBA, IndyCar, #Jets, #Hurricanes tickets & other eventshttp://seatgeek.com",Disaster Status Information,Low Priority,Very Positive,False,Hurricanes
2024-03-02 12:31:07+00:00,#Floods after heavy #rains in #Kent of United Kingdom  (26.02.202... https://youtube.com/shorts/Mce5QA2Tc4c?si=4nCG9CxNWD_7Vufm… via ,Disaster Status Information,Low Priority,Very Negative,False,Floods
2024-03-04 06:23:06+00:00,"USGS reports a M1.07 earthquake, 7 km WNW of The Geysers, CA on 3/4/24 @ 6:21:00 UTChttps://earthquake.usgs.gov/earthquakes/eventpage/nc74011561…#earthquake",Disaster Status Information,Low Priority,Very Negative,True,Earthquake
